P00001606T0076|14 37|alkaline phosphatases and 5
P00008997A0472|4 6|CSF
P00008997A0472|34 40|CSF PCO2
P00008997A0472|8 11|HCO3
P00013683A0210|18 20|CO2
P00013683A0210|54 57|VCO2
P00015731A0090|198 200|CO2
P00024600A0522|3 26|variable HMG dosage regimen
P00025557A0100|7 9|CO2
P00027739T0000|0 28|Serum gamma glutamyltransferase
P00027967A0207|20 31|HI antibodies
P00030183T0000|33 38|HLA-B5
P00030937A0119|5 8|SGOT
P00030937A0119|13 31|alkaline phosphatase
P00033873T0001|0 26|Gamma glutamyl transpeptidase
P00033873T0001|28 31|GGTP
P00038408T0000|22 47|central alpha-autoreceptors
P00038408T0000|89 94|FLA 136
P00050628A0202|2 24|IgG monoclonal gammopathy
P00052597T0000|9 23|immunoglobulin E
P00054900A0226|0 9|Peroxydase
P00055040A0000|116 125|fibrinogen
P00055040A0000|263 278|plasma fibrinogen
P00055040A0000|138 156|degradation products
P00072928T0000|0 13|Serum-ferritin
P00073344A0367|41 51|lymphocytes
P00089778A0000|18 23|alpha 2
P00089778A0000|84 112|fibrinogen degradation products
P00089778A0000|70 71|C3
P00096241A0087|5 8|FT4I
P00100540T0000|44 66|platelet cyclo-oxygenase
P00101300A0257|37 38|T1
P00101300A0257|46 47|N0
P00101300A0257|40 41|T2
P00105401A0635|11 13|CBZ
P00105401A0635|75 77|TBG
P00105401A0635|210 212|FT3
P00105401A0635|204 206|FT4
P00105401A0635|17 19|DPH
P00105903A0288|67 72|PEG 400
P00114144A0189|130 135|Type IV
P00122718A0500|13 20|MRF units
P00129659T0000|79 81|IQs
P00133214T0064|40 43|USSR
P00150066A0100|6 20|human fibrinogen
P00150066A0100|52 59|thrombin
P00154430A0906|89 114|1.8 kb HindIII-EcoRI fragment
P00167544A0067|47 70|vestibular sensory regions
P00176742T0000|42 56|cellular enzymes
P00188387A0975|9 20|lipoproteins
P00201881A0487|63 68|PI ACTH
P00211881A0602|126 128|PBB
P00221725A0523|25 41|cytochrome oxidase
P00221725A0523|75 95|peripheral neutrophils
P00222102A0227|57 67|vitamin-D-3
P00224013A0661|0 7|Total VO2
P00224013A0661|335 350|beta-Vasodilator
P00224013A0661|5 7|VO2
P00227393T0000|63 96|cytochrome P-450 monooxygenase system
P00227610A1593|31 37|DBP mRNA
P00232354A0286|0 8|Serum ACTH
P00232456T0000|32 35|MC29
P00232456T0000|127 143|transforming genes
P00232456T0000|39 41|MH2
P00234264A0164|0 26|Gamma glutamyl transpeptidase
P00331936T0000|11 35|anti-lymphocyte antibodies
P00331936T0000|44 59|immunoperoxidase
P00336354A0543|13 19|serum GH
P00336547A0000|130 132|ICR
P00336547A0000|233 235|C57
P00336547A0000|266 268|CBA
P00336547A0000|136 138|C3H
P00336547A0000|270 272|LAC
P00336547A0000|259 262|BALB
P00336547A0000|136 138|C3H
P00393598A0198|47 49|ALS
P00413854A0958|15 18|PCO2
P00427715A0000|65 76|Stages I and II
P00431832T0001|42 53|beta receptor
P00432615A0541|68 77|antibodies
P00432615A0541|167 170|RIST
